LAN2 LAN3 LAN4 AGE PRI SEX MLAT FLAS SATV SATM ENG HGPA CGPA GRD
1 0 0  1  3  0  81  25  490  550   67  2.50  3.29  2
0 0 0  1  2  0  76  24  630  610   66  3.14  3.59  2
1 0 0  2  2  0  35  -1  510  490   54  3.32  3.28  2
1 0 0  2  3  1 104  -1  460  470   52  2.25  3.27  2
0 1 0  2  1  1  84  -1  410  550   39  3.22  2.56  2
0 0 0  2  3  1  92  35  600  630   67  3.24  3.81  2
0 1 0  2  2  1  91  19  480  520   44  2.16  3.87  2
0 1 0  2  3  0  67  18   -1   -1   -1  1.71    -1  1
0 1 0  1  1  0  82  28  540  540   50  3.55  3.47  2
0 1 0  2  1  0  81  32  560  650   82  3.47  3.24  2
1 0 0  2  1  0  69  20  550  510   51  2.76  3.17  1
0 0 0  2  1  1  77  23  440  480   48  2.82  3.07  1
1 0 0  2  1  0  93  18   -1   -1   -1  2.50    -1  1
0 1 0  1  3  0  87  16  350  560   36  1.33  2.34  1
0 1 0  1  1  1 101  40  740  730  113  3.95  4.00  2
0 0 1  1  3  1  93  -1  520  540   59  2.96  3.50 -1
1 0 0  2  3  0  45  28  510  480   50  2.75  3.21  1
0 1 0  2  3  0  91  26  560  620   60  2.52  3.11  2
0 0 0  1  3  1  93  19   -1   -1   -1  1.57    -1  1
0 1 0  1  1  0  84  30  590  620   49  1.64  3.38  1
0 0 0  1  1  0  99  26  550  600   55  3.33  3.26 -1
0 0 0  1  3  1  93  19   -1   -1   -1  1.57    -1  1
1 0 0  2  3  0  83  28  570  650   58  2.67  3.57  2
0 0 0  2  2  0  89  19  610  500   74  2.25  2.67  1
0 1 0  2  3  0  76  -1  520  540   44  2.36  2.67 -1
0 0 1 -1 -1  0  96  26  340  440   51  2.56  2.60 -1
0 1 0  2  1  0  88  20  510  610   54  3.36  2.43  2
1 0 0  2  3  1  89  26  450  610   40  2.79  3.13  2
0 1 0  2  2  0  79  26   -1   -1   -1  2.67    -1 -1
0 1 0  1  3  1  91  19  540  450   55  2.50  3.19  2
0 1 0  2  1  1  96  28  410  500   43  2.73  3.27 -1
0 1 0  2  1  0  65  23  500  520   42  3.14  2.17  1
0 0 0  1  3  1 109  24  470  540   64  3.23  3.61  2
0 0 0  2  2  1  90  24  490  490   45  2.07  3.45  1
0 1 0  1  1  1  82  38  580  720   82  3.67  3.93  2
0 0 1  1  3  1  69  16  460  490   30  2.16  3.29 -1
1 0 0  2  2  0  92  18   -1   -1   -1  3.57    -1  2
0 0 0  2  3  0 102  21  460  540   50  3.24  3.75  2
0 0 0  2  1  0  70  27  430  550   48  2.76  3.07  2
0 0 0  1  3  1  96  30  460  610   63  2.72  3.38  1
0 0 0  2  2  0  84  28  570  760   62  2.66  3.13  2
0 1 0  2  2  0  72  32  710  740   88  3.78  4.00  1
0 1 0  2  3  1  87  29  570  690   61  3.71  3.81  2
0 1 0  2  3  0  93  23  510  640   44  3.28  3.76  2
0 0 0  1  3  0  79  18  420  650   33  1.93  2.29  1
0 1 0  1  1  1 103  -1  640  610   83  2.73  2.56 -1
0 1 0  1  3  1  90  40  600  610   74  3.97  3.81  2
1 0 0  1  3  1  77  -1  530  540   61  3.03  3.20 -1
0 1 0  1  3  1  65  27  500  510   46  2.00  3.27  2
0 0 0  2  1  1  92  16   -1   -1   -1  3.13    -1  2
0 0 1  1  3  1 104  -1  480  500   40  2.46  3.56 -1
0 0 0  2  1  0  81  25  560  530   57  3.18  3.05  2
0 0 1  1  3  0  87  29  360  630   31  2.78  3.06 -1
0 1 0  1  1  1  60  25  470  630   46  3.37  3.87  2
0 0 0  2  3 -1  99  13  600  520   57  2.94  2.79 -1
0 1 0  1  2  0  80  16  300  530   39  2.71  2.93  1
0 0 0  2  3  0  67  22  570  600   54  2.75  3.06  1
1 0 0  1  3  0  91  32  480  570   74  2.86  3.93  2
0 1 0  1  3  0  81  -1  710  750   55  1.41  3.10  1
1 0 0  2  2  1  77  17  310  400   40  0.50  2.21  1
1 0 0  2  2  0  72  22  440  400   29  2.77  3.13  1
1 0 0  2  3  1  92  -1  500  530   46  3.30  3.66  2
0 0 0  2  1  0  58  13  400  450   35  1.94  3.07 -1
0 1 0  1  2  0  72  26  570  550   60  2.08  2.80  1
0 0 1  1  3  0  84  -1  490  590   60  3.22  2.73 -1
0 0 0  2  3  0  85  17   -1   -1   -1  1.23    -1  1
0 0 0  2  3  1  99  23  710  450   68  2.75  3.73  2
0 0 0  1  3  1  80  27  590  490   66  3.20  3.47  2
0 1 0  2  2  0  78  32  540  540   58  2.47  2.93  2
0 0 0  1  1  0 105  33  480  580   48  3.38  3.12  2
0 1 0  1  1  0  78  26  520  630   41  2.86  3.63 -1
1 0 0  2  2  0  69  20  500  630   56  3.07  3.21  2
0 1 0  2  2  0  66  17   -1   -1   -1  2.18    -1  1
0 1 0  2  3  0  61  24   -1   -1   -1  2.50    -1  1
1 0 0  2  2  0  70  23  460  520   40  2.07  3.64  1
1 0 0  2  3  0 102  17   -1   -1   -1  2.07    -1 -1
0 1 0  1  2  0  89  19  590  630   71  2.65  2.67  1
0 1 0  2  2  1  94  23  590  560   63  2.77  3.80  2
0 1 0  2  2  1 102  34  610  540   61  3.12  2.97  2
0 0 1  1  3  1  91  -1  480  510   51  3.87  3.81 -1
1 0 0  1  2  0  89  25  500  570   65  3.43  4.00  2
1 0 0  2  2  1  86   9  400  500   39  3.09  2.64  1
0 1 0  2  2  1  84  24   -1   -1   -1  3.32    -1  2
0 1 0  1  3  1 101  25  490  500   38  3.48  3.83  2
0 0 0  2  1  1 110  36  790  640  106  3.81  4.00  2
0 0 0  1  1  0  88  24  490  650   37  3.21  3.73  1
1 0 0  2  2  1  83  -1  500  490   52  2.80  3.86  2
0 0 0 -1 -1  1 108  31  480  630   55  2.86  3.20  2
1 0 0  2  2  0  92  31  530  630   62  3.38  3.78  2
0 1 0  2  3  1  89  32  660  550   86  3.31  3.67  2
1 0 0  1  2  1  91  26  470  620   54  2.06  3.53  1
1 0 0  2  1  0  88  13   -1   -1   -1  1.86    -1 -1
0 1 0  1  2  0  81  27  480  550   62  2.60  3.81  2
0 0 1  2  2  0  59  22   -1   -1   -1  2.97    -1 -1
0 0 0  2  3  1  72  29  420  510   47  2.24  3.40  2
1 0 0  2  3  1  81  20  360  560   42  3.11  4.00  2
0 0 1  2  2  1  80  24  300  340   -1  1.94  2.38 -1
1 0 0  2  3  1  78  34  680  650   67  3.60  4.00  2
1 0 0  2  2  0  78  -1  450  460   43  1.88  2.12  1
0 0 0 -1 -1  0 104  28  340  520   40  2.00  3.21  1
0 1 0  1  3  0  79  21  410  610   43  2.61  3.81  1
0 1 0  2  3  0  77  18  620  520   52  2.78  2.38  1
0 0 0  2  3  0  84  29  610  690   71  2.78  3.26  2
0 1 0  2  3  1  76  30  550  660   75  3.99  3.94 -1
0 1 0 -1 -1  0  92  -1  600  660   89  2.65  3.14  1
1 0 0  1  3  0  92  -1  460  560   37  2.10  3.23 -1
0 0 0  1  3  1  94  -1  210  470   26  2.80  3.29  2
0 1 0  1  1  1  76  17  600  470   76  2.38  2.67  1
0 0 0 -1 -1  1  89  -1  530  500   48  2.55  3.57  1
1 0 0  1  1  1 102  30  470  560   50  3.04  3.33  2
0 1 0  1  3  0  72  -1  440  620   47  2.80  3.71  2
1 0 0  2  3  0  94  26  670  730   86  3.66  4.00  2
0 0 0  2  3  0  99  22  480  560   46  2.07  2.79  1
0 0 0  2  1  0  78  24  560  730   63  3.41  3.52  2
0 1 0  1  3  0  71  21  680  660   65  2.44  2.79  1
1 0 0  1  1  0  72  17  490  370   38  2.50  3.38 -1
